"school_recordid","year_numeric","disability","total_male_disability","total_female_disability","total_disability"
"28","2015","Hearing","0","1","1"
"62","2015","Hearing","0","1","1"
"168","2015","Hearing","1","1","2"
"77","2015","Hearing","1","0","1"
"5","2015","Hearing","1","0","1"
"3","2015","Hearing","2","0","2"
"72","2015","Hearing","1","1","2"
"35","2015","Hearing","1","1","2"
"78","2015","Hearing","0","1","1"
"64","2015","Hearing","0","1","1"
"271","2015","Hearing","2","0","2"
"82","2015","Hearing","0","1","1"
"75","2015","Hearing","1","0","1"
"63","2015","Hearing","1","0","1"
"149","2015","Hearing","0","1","1"
"74","2015","Hearing","2","1","3"
"196","2015","Hearing","1","0","1"
"79","2015","Hearing","1","1","2"
"338","2015","Hearing","0","2","2"
"159","2015","Hearing","1","0","1"
"66","2015","Hearing","1","1","2"
"85","2015","Hearing","1","0","1"
"172","2015","Hearing","1","0","1"
"71","2015","Hearing","1","1","2"
"279","2015","Hearing","1","3","4"
"89","2015","Hearing","0","1","1"
"472","2015","Hearing","1","1","2"
"157","2015","Hearing","0","1","1"
"123","2015","Hearing","1","2","3"
"67","2015","Hearing","2","0","2"
"181","2015","Hearing","0","1","1"
"106","2015","Hearing","3","7","10"
"280","2015","Hearing","1","0","1"
"145","2015","Hearing","1","1","2"
"555","2015","Hearing","0","1","1"
"160","2015","Hearing","1","0","1"
"125","2015","Hearing","1","0","1"
"86","2015","Hearing","1","0","1"
"265","2015","Hearing","1","1","2"
"21","2015","Hearing","0","1","1"
"362","2015","Hearing","1","0","1"
"107","2015","Hearing","0","1","1"
"603","2015","Hearing","1","0","1"
"180","2015","Hearing","0","1","1"
"182","2015","Hearing","1","0","1"
"122","2015","Hearing","3","2","5"
"281","2015","Hearing","0","1","1"
"133","2015","Hearing","0","1","1"
"328","2015","Hearing","0","1","1"
"162","2015","Hearing","0","1","1"
"604","2015","Hearing","0","1","1"
"262","2015","Hearing","0","1","1"
"200","2015","Hearing","0","1","1"
"68","2015","Hearing","1","1","2"
"292","2015","Hearing","3","0","3"
"138","2015","Hearing","1","0","1"
"343","2015","Hearing","1","0","1"
"191","2015","Hearing","0","1","1"
"688","2015","Hearing","1","0","1"
"132","2015","Hearing","0","1","1"
"232","2015","Hearing","0","1","1"
"256","2015","Hearing","1","0","1"
"351","2015","Hearing","1","0","1"
